Local Authority,Year,Reception Overweight,Year 6 Overweight,Reception Obese,Year 6 Obese
Hackney,2008,13.56932153,15.62350693,13.27433628,23.98471094
Hackney,2009,12.699096,14.88238118,14.42100732,25.49207873
Hackney,2010,13.46613546,15.94620557,14.58167331,25.02401537
Hackney,2011,13.90224359,15.62211982,13.38141026,27.14285714
Hackney,2012,13.12111801,16.03288798,13.19875776,25.23124358
Hackney,2013,12.80674847,14.27915519,14.37883436,26.07897153
Hackney,2014,13.97459165,15.52471813,11.97822142,25.58542931
Hackney,2015,12.06395349,15.52436003,12.46366279,27.00247729
Hackney,2016,12.24640354,14.77691363,12.98413869,26.9750307
Hackney,2017,12.12355212,15.15028432,12.00772201,25.30463038
Hackney,2018,12.75489804,15.45236189,11.31547381,24.61969576
Hammersmith And Fulham,2006,14.6961326,15.7079646,10.82872928,23.2300885
Hammersmith And Fulham,2007,13.6400986,14.57418788,11.75020542,22.82704126
Hammersmith And Fulham,2008,11.1305872,14.20400381,12.00701139,22.40228789
Hammersmith And Fulham,2009,13.29163409,16.21376812,10.32056294,24.00362319
Hammersmith And Fulham,2010,12.70878722,15.18550475,11.40159768,23.72735116
Hammersmith And Fulham,2011,14.64646465,14.42564559,10.02886003,25.82368655
Hammersmith And Fulham,2012,14.03508772,16.15245009,11.21281465,20.14519056
Hammersmith And Fulham,2013,11.3879,15.173,8.8968,22.449
Hammersmith And Fulham,2014,12.70430906,15.0660793,9.881129272,23.25991189
Hammersmith And Fulham,2015,12.74074074,13.83238405,8.444444444,21.31814483
Hammersmith And Fulham,2016,12.57309942,14.9750416,8.918128655,22.87853577
Hammersmith And Fulham,2017,12.31343284,16.13155834,9.253731343,21.5348473
Hammersmith And Fulham,2018,11.02484472,14.72629144,7.99689441,20.50886662
Haringey,2006,12.46569973,14.50121655,12.89690318,23.79562044
Haringey,2007,12.0292083,15.34997953,9.992313605,23.20916905
Haringey,2008,12.15189873,15.84478577,11.79023508,20.6952304
Haringey,2009,12.76041667,15.60891938,12.87202381,22.98456261
Haringey,2010,11.39393939,14.3255814,10.14141414,21.11627907
Haringey,2011,12.29508197,15.01094092,11.83178902,23.76367615
Haringey,2012,11.55950752,15.95394737,11.11491108,23.39638158
Haringey,2013,10.5806,15.1515,9.653,22.8438
Haringey,2014,12.44413888,14.08987053,10.58783087,22.58187357
Haringey,2015,12.54355401,14.11229135,11.56794425,23.82397572
Haringey,2016,11.6303584,15.19699812,9.697821504,22.43902439
Haringey,2017,11.78694158,13.52901484,10.20618557,23.65047233
Haringey,2018,11.37440758,14.59778086,11.44732045,23.50901526
Harrow,2006,10.51524711,16.55104063,9.095688749,16.99702676
Harrow,2007,11.46067416,15.4431513,9.438202247,17.90510295
Harrow,2008,11.47301896,14.41190144,9.820126398,18.17759182
Harrow,2009,11.7672601,15.18275539,10.59487625,18.6972821
Harrow,2010,8.053402239,14.46886447,6.890611542,17.58241758
Harrow,2011,12.10504719,15.52399608,9.314731227,20.32321254
